Route_Id,Trips,Route_Name,Origin,Time_Of_Day,Route_Type,Estimated_Time,Stop_Id,Stop_Sequence_On_Route,City,State,Facility_Name,Address
32,1,Sacred Heart Evening 2,Sacred Heart,Evening,Women's,23:41:00,16,2,Washington ,DC,Nativity Church/Shelter,6000 Georgia Avenue Nw
23,1,New Covenant Morning,New Covenant,Morning,Women's,12:09:00,16,3,Washington ,DC,Nativity Church/Shelter,6000 Georgia Avenue Nw
22,1,Nativity Evening 1,Nativity,Evening,Men's,23:45:00,16,1,Washington ,DC,Nativity Church/Shelter,6000 Georgia Avenue Nw
18,1,Emery Morning 2,Emery,Morning,Women's,11:30:00,10,1,Washington ,DC,Emery Recreation Center,5701 Georgia Avenue Nw
18,1,Emery Morning 1,Emery,Morning,Men's,12:15:00,10,1,Washington ,DC,Emery Recreation Center,5701 Georgia Avenue Nw
2,1,801 East Morning 2,801 East,Morning,Men's,14:33:00,25,5,Washington ,DC,Thrive DC,1525 Newton Street Nw
32,1,Sacred Heart Evening 2,Sacred Heart,Evening,Women's,23:30:00,22,1,Washington ,DC,Sacred Heart Church,1625 Park Road Nw
31,1,Sacred Heart Evening 1,Sacred Heart,Evening,Men's,23:45:00,22,1,Washington ,DC,Sacred Heart Church,1625 Park Road Nw
17,1,Epiphany Evening 5,Epiphany,Evening,Men's ,23:45:00,24,2,Washington ,DC,The Salvation Army,3335 Sherman Avenue Nw
33,1,Salvation Army Morning,Salvation Army,Morning,Men's ,11:30:00,24,1,Washington ,DC,The Salvation Army,3335 Sherman Avenue Nw
23,1,New Covenant Morning,New Covenant,Morning,Women's,11:51:00,8,2,Washington ,DC,Community of Christ,3526 Massachusetts Avenue Nw
9,1,Banneker Morning,Banneker,Morning,Men's,11:30:00,4,1,Washington ,DC,Banneker Recreation Center,2500 Georgia Avenue Nw
4,1,Adam's Drop-In Evening 1,Adam's Drop-In,Evening,Men's,20:30:00,2,1,Washington ,DC,Adams Place Day Center,2210 Adams Place Ne
13,2,Epiphany Evening 1,Epiphany,Evening,Men's,23:53:00,3,2,Washington ,DC,Adams Place Shelter,2210 Adams Place Ne
24,5,North Cap & Mass Evening,North Cap & Mass,Evening,Men's,1:45:00,3,4,Washington ,DC,Adams Place Shelter,2210 Adams Place Ne
26,1,NY Ave Morning 2,NY Ave,Morning,Men's,14:07:00,2,2,Washington ,DC,Adams Place Day Center,2210 Adams Place Ne
5,1,Adam's Drop-In Evening 2,Adam's Drop-In,Evening,Men & Women,21:15:00,2,1,Washington ,DC,Adams Place Day Center,2210 Adams Place Ne
24,4,North Cap & Mass Evening,North Cap & Mass,Evening,Men's,0:45:00,3,4,Washington ,DC,Adams Place Shelter,2210 Adams Place Ne
24,3,North Cap & Mass Evening,North Cap & Mass,Evening,Men's,23:45:00,3,4,Washington ,DC,Adams Place Shelter,2210 Adams Place Ne
24,2,North Cap & Mass Evening,North Cap & Mass,Evening,Men's,22:45:00,3,4,Washington ,DC,Adams Place Shelter,2210 Adams Place Ne
13,3,Epiphany Evening 1,Epiphany,Evening,Men's,0:53:00,3,2,Washington ,DC,Adams Place Shelter,2210 Adams Place Ne
13,4,Epiphany Evening 1,Epiphany,Evening,Men's,1:53:00,3,2,Washington ,DC,Adams Place Shelter,2210 Adams Place Ne
13,1,Epiphany Evening 1,Epiphany,Evening,Men's,21:53:00,3,2,Washington ,DC,Adams Place Shelter,2210 Adams Place Ne
